       309,     61600,  8575, 26198, 11777, 16990, 28171, 29897
       310,     61800,  8010, 26569, 12668, 17536, 12625,  6247
       311,     62000, 12035, 29099, 15782, 22129,  1113,   838
       312,     62200, 11811, 29364, 16674, 22726,  1128, 11227
       313,     62400, 10659, 29050, 17035, 22375,     0,  1375
       314,     62600, 13018, 30665, 19381, 25446,  7922,     0
       315,     62800, 14544, 31744, 21234, 27646, 15317, 11564
       316,     63000, 14811, 32025, 22326, 28529, 17811, 18886
       317,     63200, 14834, 32121, 23270, 29139, 20688, 19691
       318,     63400, 15096, 32286, 24319, 29928, 21263, 21159
       319,     63600, 15121, 32252, 25199, 30426, 21760, 22330
       320,     63800, 14525, 31803, 25691, 30255, 19051, 21797
       321,     64000, 14294, 31496, 26349, 30381, 17368, 19277
       322,     64200, 14100, 31152, 26991, 30490, 16204, 17763
       323,     64400, 14416, 31029, 27872, 31032, 16478, 17684
       324,     64600, 14494, 30714, 28571, 31279, 17265, 18642
       325,     64800, 14541, 30317, 29198, 31426, 16911, 19429
       326,     65000, 14353, 29732, 29640, 31281, 16478, 19203
       327,     65200, 14257, 29142, 30077, 31159, 15391, 18559
       328,     65400, 14407, 28640, 30598, 31218, 15954, 18253
       329,     65600, 14592, 28105, 31079, 31246, 16450, 19115
       330,     65800, 14759, 27509, 31488, 31191, 17232, 20212
       331,     66000, 14605, 26686, 31652, 30757, 16594, 20736
       332,     66200, 14444, 25815, 31749, 30253, 15671, 20089
       333,     66400, 14328, 24931, 31808, 29735, 14888, 19211
       334,     66600, 14493, 24168, 31963, 29436, 15132, 19038
       335,     66800, 14681, 23385, 32067, 29102, 15922, 19848
       336,     67000, 14794, 22527, 32061, 28637, 16337, 20892
       337,     67200, 14710, 21532, 31879, 27925, 16110, 21272
       338,     67400, 14615, 20508, 31628, 27152, 15492, 20938
       339,     67600, 14623, 19525, 31373, 26436, 15364, 20528
       340,     67800, 14761, 18599, 31130, 25802, 15745, 20769
       341,     68000, 14898, 17661, 30824, 25124, 16303, 21524
       342,     68200, 14895, 16637, 30379, 24270, 16352, 22125
       343,     68400, 14804, 15560, 29827, 23294, 15931, 22066
       344,     68600, 14762, 14511, 29248, 22335, 15625, 21656
       345,     68800, 14869, 13553, 28701, 21496, 15928, 21615
       346,     69000, 15060, 12651, 28149, 20714, 16748, 22273
       347,     69200, 15174, 11717, 27506, 19836, 17366, 23229
       348,     69400, 15147, 10721, 26736, 18802, 17400, 23732
       349,     69600, 15038,  9699, 25877, 17675, 16968, 23521
       350,     69800, 15009,  8747, 25025, 16618, 16749, 23049
       351,     70000, 15113,  7900, 24213, 15689, 17119, 23029
       352,     70200, 15281,  7120, 23404, 14822, 17894, 23646
       353,     70400, 15372,  6331, 22521, 13882, 18489, 24444
       354,     70600, 15357,  5521, 21553, 12846, 18616, 24838
       355,     70800, 15311,  4735, 20545, 11790, 18535, 24735
       356,     71000, 15338,  4036, 19562, 10823, 18685, 24567
       357,     71200, 15445,  3430, 18611,  9955, 19225, 24778
       358,     71400, 15550,  2873, 17648,  9108, 19838, 25339
       359,     71600, 15570,  2320, 16631,  8203, 20156, 25792
       360,     71800, 15521,  1782, 15572,  7262, 20134, 25813
       361,     72000, 15504,  1320, 14535,  6387, 20167, 25574
       362,     72200, 15581,   971, 13558,  5643, 20600, 25554
       363,     72400, 15716,   714, 12623,  4997, 21368, 25992
       364,     72600, 15806,   493, 11678,  4350, 22040, 26635
       365,     72800, 15797,   278, 10694,  3653, 22299, 26997
       366,     73000, 15733,    96,  9700,  2950, 22243, 26871
       367,     73200, 15708,     0,  8756,  2340, 22274, 26539
       368,     73400, 15772,    19,  7892,  1872, 22676, 26464
       369,     73600, 15876,   125,  7084,  1500, 23336, 26801
       370,     73800, 15936,   270,  6287,  1142, 23890, 27264
       371,     74000, 15922,   437,  5488,   772, 24131, 27473
       372,     74200, 15887,   655,  4719,   442, 24211, 27348
       373,     74400, 15895,   960,  4022,   218, 24430, 27166
